keys,fr,en
"Un commandant suffit. Le cercle fait le reste.","Un commandant suffit. Le cercle fait le reste.","One commander is enough. The circle does the rest."
"Cercle de Convocation","Cercle de Convocation","Circle of Summoning"
"Éveil : Invoque un Mort-Vivant aléatoire de coût ≤2 gratuitement.","Éveil : Invoque un Mort-Vivant aléatoire de coût ≤2 gratuitement.","Awakening: Summon a random Undead of cost ≤2 for free."
"Le cercle appelle. Les morts n'ont pas appris à décliner.","Le cercle appelle. Les morts n'ont pas appris à décliner.","The circle calls. The dead never learned to refuse."
"Cercle de Sacrifice","Cercle de Sacrifice","Circle of Sacrifice"
"Sacrifice 1 : Vos Mort-Vivants gagnent +1/+1 de façon permanente.","Sacrifice 1 : Vos Mort-Vivants gagnent +1/+1 de façon permanente.","Sacrifice 1: Your Undead permanently gain +1/+1."
"Le cercle ne se lasse pas de demander. Il attend juste la prochaine offrande.","Le cercle ne se lasse pas de demander. Il attend juste la prochaine offrande.","The circle never tires of asking. It simply waits for the next offering."
"Champion du Peuple","Champion du Peuple","People's Champion"
"Exécution : Soigne le héros allié de 2 points de vie.","Exécution : Soigne le héros allié de 2 points de vie.","Execution: Heal your hero for 2 HP."
"Il se bat pour des gens qu'il ne connaît pas. C'est pour ça qu'il gagne.","Il se bat pour des gens qu'il ne connaît pas. C'est pour ça qu'il gagne.","He fights for people he does not know. That is why he wins."
"Charognard Putride","Charognard Putride","Putrid Scavenger"
"Dernier Souffle : Inflige Infection à un serviteur ennemi ciblé.","Dernier Souffle : Inflige Infection à un serviteur ennemi ciblé.","Deathrattle: Inflict Infection on target enemy minion."
"Même en tombant, il répand ce qui l'a tué.","Même en tombant, il répand ce qui l'a tué.","Even as he falls, he spreads what killed him."
"Chevalier de la Contre-Marche","Chevalier de la Contre-Marche","Countermarch Knight"
"CONTRE-ATTAQUE, ASSAUT
Blessure : Gagne +2/+0 jusqu'à la fin du tour.","CONTRE-ATTAQUE, ASSAUT
Blessure : Gagne +2/+0 jusqu'à la fin du tour.","COUNTERATTACK, CHARGE
Wounded: Gains +2/+0 until end of turn."
"Il charge. Il encaisse. Il charge encore. C'est tout ce qu'il sait faire, et c'est suffisant.","Il charge. Il encaisse. Il charge encore. C'est tout ce qu'il sait faire, et c'est suffisant.","He charges. He takes the hit. He charges again. That is all he knows how to do, and it is enough."
"Chevalier du Mur","Chevalier du Mur","Wall Knight"
"REMPART, CONTRE-ATTAQUE","REMPART, CONTRE-ATTAQUE","TAUNT, COUNTERATTACK"
"Il a juré de ne pas reculer. Il a tenu sa parole à un prix qu'il ne mentionne jamais.","Il a juré de ne pas reculer. Il a tenu sa parole à un prix qu'il ne mentionne jamais.","He swore never to retreat. He kept his word at a price he never mentions."
"Cimetière Vivant","Cimetière Vivant","Living Cemetery"
"À chaque tour, le premier Mort-Vivant que vous contrôlez qui meurt revient en jeu à la fin du tour avec 1 point de vie.","À chaque tour, le premier Mort-Vivant que vous contrôlez qui meurt revient en jeu à la fin du tour avec 1 point de vie.","Each turn, the first Undead you control that dies returns to play at the end of the turn with 1 HP."
"Le sol ici ne garde rien. Il régurgite.","Le sol ici ne garde rien. Il régurgite.","The ground here keeps nothing. It regurgitates."
"Citadelle des Hommes","Citadelle des Hommes","Citadel of Men"
"Présence : Vos serviteurs en rangée Avant gagnent +0/+1 de façon permanente.","Présence : Vos serviteurs en rangée Avant gagnent +0/+1 de façon permanente.","Presence: Your minions in the Front row permanently gain +0/+1."
"Ces murs n'ont pas été construits pour durer. Ils ont duré quand même.","Ces murs n'ont pas été construits pour durer. Ils ont duré quand même.","These walls were not built to last. They lasted anyway."
"Code du Chevalier","Code du Chevalier","Knight's Code"
"Assaut : chaque serviteur Humain allié qui attaque inflige 1 dégât supplémentaire.","Assaut : chaque serviteur Humain allié qui attaque inflige 1 dégât supplémentaire.","Charge: each allied Human minion that attacks deals 1 extra damage."
"L'honneur ne protège pas. Mais il donne un tranchant supplémentaire.","L'honneur ne protège pas. Mais il donne un tranchant supplémentaire.","Honor does not protect. But it gives an extra edge."
"Colosse Décomposé","Colosse Décomposé","Decayed Colossus"
"REMPART. CHAIR MORTE. Blessure : les dégâts excédentaires ne se propagent pas.","REMPART. CHAIR MORTE. Blessure : les dégâts excédentaires ne se propagent pas.","TAUNT. DEAD FLESH. Wounded: excess damage does not carry over."
"Les lames disparaissent dans sa masse. Il continue d'avancer.","Les lames disparaissent dans sa masse. Il continue d'avancer.","Blades vanish into his mass. He keeps advancing."
"Commandant des Derniers","Commandant des Derniers","Last Stand Commander"
"COMMANDEMENT. Dernier Souffle : ressuscite tous les serviteurs Humains alliés morts ce tour avec 1 HP en rangée Avant.","COMMANDEMENT. Dernier Souffle : ressuscite tous les serviteurs Humains alliés morts ce tour avec 1 HP en rangée Avant.","COMMAND. Deathrattle: resurrect all allied Human minions that died this turn with 1 HP in the Front row."
"Sa mort n'est pas une fin. C'est un dernier ordre.","Sa mort n'est pas une fin. C'est un dernier ordre.","His death is not an end. It is a final order."
"Communion avec les Morts","Communion avec les Morts","Communion with the Dead"
"Sacrifice 1 : Ramène le dernier Mort-Vivant mort depuis votre cimetière dans votre main.","Sacrifice 1 : Ramène le dernier Mort-Vivant mort depuis votre cimetière dans votre main.","Sacrifice 1: Returns the last Undead that died from your graveyard to your hand."
"Chaque mort laisse quelque chose derrière lui. Il suffit de savoir écouter.","Chaque mort laisse quelque chose derrière lui. Il suffit de savoir écouter.","Every death leaves something behind. You just have to know how to listen."
"Conscrit","Conscrit","Conscript"
"Il n'a pas choisi de venir. Il est venu quand même.","Il n'a pas choisi de venir. Il est venu quand même.","He did not choose to come. He came anyway."
"Contre-Attaque Générale","Contre-Attaque Générale","General Counterattack"
"Éveil : Tous les serviteurs Humains alliés gagnent CONTRE-ATTAQUE jusqu'à la fin du tour.","Éveil : Tous les serviteurs Humains alliés gagnent CONTRE-ATTAQUE jusqu'à la fin du tour.","Awakening: All allied Human minions gain COUNTERATTACK until end of turn."
"Chaque coup reçu est une réponse en attente.","Chaque coup reçu est une réponse en attente.","Every blow taken is a reply waiting to happen."
"Contre-Offensive","Contre-Offensive","Counter-Offensive"
"Exécution ce tour : Chaque serviteur Humain allié qui tue un ennemi peut attaquer à nouveau immédiatement.","Exécution ce tour : Chaque serviteur Humain allié qui tue un ennemi peut attaquer à nouveau immédiatement.","Execution this turn: Each allied Human minion that kills an enemy can immediately attack again."
"La victoire s'enchaîne quand on ne lui laisse pas le temps de s'arrêter.","La victoire s'enchaîne quand on ne lui laisse pas le temps de s'arrêter.","Victory compounds when you give it no time to stop."
"Cri de Ralliement","Cri de Ralliement","Rally Cry"
"Humains alliés +0/+1 jusqu'à la fin du tour.","Humains alliés +0/+1 jusqu'à la fin du tour.","Allied Humans +0/+1 until end of turn."
"Un seul cri. Toute la ligne se souvient pourquoi elle est là.","Un seul cri. Toute la ligne se souvient pourquoi elle est là.","A single cry. The whole line remembers why it is there."
"Cri des Damnés","Cri des Damnés","Cry of the Damned"
"Mort-Vivants alliés +1/+0 ce tour.
Si 5 ou plus en jeu : +2/+0 à la place.","Mort-Vivants alliés +1/+0 ce tour.
Si 5 ou plus en jeu : +2/+0 à la place.","Allied Undead +1/+0 this turn.
If 5 or more in play: +2/+0 instead."
"Plus ils sont nombreux à hurler, moins le cri ressemble à quelque chose d'humain.","Plus ils sont nombreux à hurler, moins le cri ressemble à quelque chose d'humain.","The more of them that scream, the less the cry sounds like anything human."
"Cultiste Zombifié","Cultiste Zombifié","Zombified Cultist"
"Dernier Souffle : Invoque un Cadavre Errant en rangée Avant.","Dernier Souffle : Invoque un Cadavre Errant en rangée Avant.","Deathrattle: Summon a Wandering Corpse in the Front row."
"Dernier Souffle : Invoque un Zombie 1/1 sous votre contrôle.","Dernier Souffle : Invoque un Zombie 1/1 sous votre contrôle.","Deathrattle: Summon a 1/1 Zombie under your control."
"Il a prié pour la mort éternelle. Il a été exaucé, à moitié.","Il a prié pour la mort éternelle. Il a été exaucé, à moitié.","He prayed for eternal death. His prayer was answered, halfway."
"Dernier Soupir","Dernier Soupir","Last Gasp"
"Piochez 1 carte par Mort-Vivant allié mort ce tour (max 3).","Piochez 1 carte par Mort-Vivant allié mort ce tour (max 3).","Draw 1 card for each allied Undead that died this turn (max 3)."
"Leurs voix ne portent plus. Mais leurs secrets, si.","Leurs voix ne portent plus. Mais leurs secrets, si.","Their voices carry no more. But their secrets do."
"Doigt Décharné","Doigt Décharné","Gaunt Finger"
"Piochez 1 carte.
Si c'est un Mort-Vivant, il coûte 1 de moins ce tour.","Piochez 1 carte.
Si c'est un Mort-Vivant, il coûte 1 de moins ce tour.","Draw 1 card.
If it is an Undead, it costs 1 less this turn."
"Il désigne. Quelque chose, quelque part, répond.","Il désigne. Quelque chose, quelque part, répond.","It points. Something, somewhere, answers."
"Don de Chair","Don de Chair","Gift of Flesh"
"Sacrifie votre serviteur le plus faible : Inflige 3 points de dégâts à la cible (joueur ou serviteur ennemi).","Sacrifie votre serviteur le plus faible : Inflige 3 points de dégâts à la cible (joueur ou serviteur ennemi).","Sacrifice your weakest minion: Deal 3 damage to the target (enemy hero or minion)."
"Il a donné son corps. Il n'avait plus besoin de consentir.","Il a donné son corps. Il n'avait plus besoin de consentir.","He gave his body. He no longer needed to consent."
"Décret Royal","Décret Royal","Royal Decree"
"Éveil : Tous vos serviteurs Humains gagnent +1/+1. (S'accumule chaque tour.)","Éveil : Tous vos serviteurs Humains gagnent +1/+1. (S'accumule chaque tour.)","Awakening: All your Human minions gain +1/+1. (Stacks each turn.)"
"Le décret n'a pas de date d'expiration. La guerre non plus.","Le décret n'a pas de date d'expiration. La guerre non plus.","The decree has no expiration date. Neither does the war."
"Défenseur Juré","Défenseur Juré","Sworn Defender"
"REMPART
Blessure : Les dégâts reçus sont réduits de 1 (minimum 1).","REMPART
Blessure : Les dégâts reçus sont réduits de 1 (minimum 1).","TAUNT
Wounded: Damage taken is reduced by 1 (minimum 1)."
"Il n'esquive pas. Il absorbe. Ce n'est pas pareil.","Il n'esquive pas. Il absorbe. Ce n'est pas pareil.","He does not dodge. He absorbs. It is not the same."
"Esprit Vorace","Esprit Vorace","Voracious Spirit"
"MOISSON
Arrivée : Vole 2 points de vie au héros ennemi.","MOISSON
Arrivée : Vole 2 points de vie au héros ennemi.","HARVEST
Arrival: Steal 2 HP from the enemy hero."
"Il ne prend pas ta vie. Il la déplace, dans les mauvaises mains.","Il ne prend pas ta vie. Il la déplace, dans les mauvaises mains.","It does not take your life. It moves it, into the wrong hands."
"Exhalation Toxique","Exhalation Toxique","Toxic Exhalation"
"Inflige 1 dégât à tous les serviteurs en jeu.","Inflige 1 dégât à tous les serviteurs en jeu.","Deal 1 damage to all minions in play."
"Même ses alliés évitent de respirer trop près.","Même ses alliés évitent de respirer trop près.","Even its allies avoid breathing too close."
"Fantassin Aguerri","Fantassin Aguerri","Seasoned Footman"
"FORMATION","FORMATION","FORMATION"
"Seul, il tient. Ensemble, ils avancent.","Seul, il tient. Ensemble, ils avancent.","Alone, he holds. Together, they advance."
"Fantassin de Contre-Choc","Fantassin de Contre-Choc","Counter-Shock Footman"
"CONTRE-ATTAQUE
Blessure : Gagne REMPART jusqu'à la fin du tour.","CONTRE-ATTAQUE
Blessure : Gagne REMPART jusqu'à la fin du tour.","COUNTERATTACK
Wounded: Gains TAUNT until end of turn."
"Chaque coup reçu lui rappelle pourquoi il tient encore debout.","Chaque coup reçu lui rappelle pourquoi il tient encore debout.","Every blow he takes reminds him why he is still standing."
"Faucheur de la Plaie","Faucheur de la Plaie","Plague Reaper"
"Arrivée : Détruit tous les serviteurs ennemis ayant 3 points de vie ou moins.","Arrivée : Détruit tous les serviteurs ennemis ayant 3 points de vie ou moins.","Arrival: Destroy all enemy minions with 3 HP or less."
"Il ne choisit pas les plus forts. Il choisit les presque morts, pour finir le travail.","Il ne choisit pas les plus forts. Il choisit les presque morts, pour finir le travail.","He does not choose the strongest. He chooses the nearly dead, to finish the job."
"Formation Défensive","Formation Défensive","Defensive Formation"
"Tous vos serviteurs en rangée Avant gagnent REMPART et +0/+2 jusqu'à la fin du tour adverse.","Tous vos serviteurs en rangée Avant gagnent REMPART et +0/+2 jusqu'à la fin du tour adverse.","All your Front row minions gain TAUNT and +0/+2 until the end of the enemy turn."
"Ils se serrent. La ligne devient un mur. Le mur ne bouge pas.","Ils se serrent. La ligne devient un mur. Le mur ne bouge pas.","They close ranks. The line becomes a wall. The wall does not move."
"Forteresse Imprenable","Forteresse Imprenable","Impregnable Fortress"
"Carnage ennemi : Chaque fois qu'un serviteur ennemi meurt, vos serviteurs en rangée Avant gagnent +0/+1 jusqu'à la fin du tour.","Carnage ennemi : Chaque fois qu'un serviteur ennemi meurt, vos serviteurs en rangée Avant gagnent +0/+1 jusqu'à la fin du tour.","Enemy carnage: Whenever an enemy minion dies, your Front row minions gain +0/+1 until end of turn."
"Chaque ennemi abattu consolide ce qui reste debout.","Chaque ennemi abattu consolide ce qui reste debout.","Every fallen enemy reinforces what still stands."
"Fortification des Lignes","Fortification des Lignes","Line Fortification"
"Éveil : Si votre rangée Avant a 5 serviteurs ou plus, ils gagnent tous REMPART jusqu'à la fin du tour.","Éveil : Si votre rangée Avant a 5 serviteurs ou plus, ils gagnent tous REMPART jusqu'à la fin du tour.","Awakening: If your Front row has 5 or more minions, they all gain TAUNT until end of turn."
"Cinq hommes côte à côte. Ça devient quelque chose d'autre. Quelque chose qui ne cède pas.","Cinq hommes côte à côte. Ça devient quelque chose d'autre. Quelque chose qui ne cède pas.","Five men side by side. It becomes something else. Something that does not yield."
"Fosse Commune","Fosse Commune","Mass Grave"
"Renfort : Si 3 Mort-Vivants alliés ou plus sont en jeu, invoque un Rampant 1/1. (Une seule fois par tour.)","Renfort : Si 3 Mort-Vivants alliés ou plus sont en jeu, invoque un Rampant 1/1. (Une seule fois par tour.)","Reinforcement: If 3 or more allied Undead are in play, summon a 1/1 Crawler. (Once per turn.)"
"Plus elle se remplit, plus elle déborde.","Plus elle se remplit, plus elle déborde.","The more it fills, the more it overflows."
"Frappe Coordonnée","Frappe Coordonnée","Coordinated Strike"
"Deux serviteurs Humains alliés ciblés attaquent immédiatement le même serviteur ennemi ciblé.","Deux serviteurs Humains alliés ciblés attaquent immédiatement le même serviteur ennemi ciblé.","Two target allied Human minions immediately attack the same target enemy minion."
"Deux hommes, un seul endroit. L'ennemi n'a pas le temps de choisir lequel regarder.","Deux hommes, un seul endroit. L'ennemi n'a pas le temps de choisir lequel regarder.","Two men, one spot. The enemy has no time to choose which one to watch."
"Frère d'Armes","Frère d'Armes","Brother in Arms"
"Il ne combat pas pour la victoire. Il combat pour que l'homme à sa gauche rentre chez lui.","Il ne combat pas pour la victoire. Il combat pour que l'homme à sa gauche rentre chez lui.","He does not fight for victory. He fights so the man to his left can go home."
"Garde du Charnier","Garde du Charnier","Charnel Guard"
"REMPART
Dernier Souffle : Piochez 1 carte.","REMPART
Dernier Souffle : Piochez 1 carte.","TAUNT
Deathrattle: Draw 1 card."
"Il gardait les vivants. Il garde désormais ce qui reste.","Il gardait les vivants. Il garde désormais ce qui reste.","He guarded the living. Now he guards what remains."
"Goule Affamée","Goule Affamée","Famished Ghoul"
"NÉCROPHAGE","NÉCROPHAGE","NECROPHAGE"
"La faim ne disparaît pas avec la mort. Elle empire.","La faim ne disparaît pas avec la mort. Elle empire.","Hunger does not vanish with death. It worsens."
"Grand Rituel Nécrotique","Grand Rituel Nécrotique","Grand Necrotic Ritual"
"Deuil : Ramène en main le Mort-Vivant allié le plus récemment mort.","Deuil : Ramène en main le Mort-Vivant allié le plus récemment mort.","Mourning: Return the most recently died allied Undead to your hand."
"Grande Mobilisation","Grande Mobilisation","Great Mobilization"
"Éveil : Invoque un Humain aléatoire de coût ≤4 en rangée Avant.","Éveil : Invoque un Humain aléatoire de coût ≤4 en rangée Avant.","Awakening: Summon a random Human of cost ≤4 in the Front row."
"Quand tout le reste a échoué, il reste les hommes. Il y en a toujours assez pour une dernière fois.","Quand tout le reste a échoué, il reste les hommes. Il y en a toujours assez pour une dernière fois.","When all else has failed, the men remain. There are always enough for one last time."
"Guérisseur de Camp","Guérisseur de Camp","Camp Healer"
"Éveil : Restaure 1 point de vie à un serviteur Humain allié aléatoire.","Éveil : Restaure 1 point de vie à un serviteur Humain allié aléatoire.","Awakening: Restore 1 HP to a random allied Human minion."
"Il n'a jamais tenu d'épée. Ses mains ont pourtant sauvé plus de vies que n'importe quelle lame.","Il n'a jamais tenu d'épée. Ses mains ont pourtant sauvé plus de vies que n'importe quelle lame.","He never held a sword. Yet his hands saved more lives than any blade."
"Géant Boursouflé","Géant Boursouflé","Bloated Giant"
"Dernier Souffle : Inflige 2 dégâts à tous les serviteurs ennemis en rangée Avant.","Dernier Souffle : Inflige 2 dégâts à tous les serviteurs ennemis en rangée Avant.","Deathrattle: Deal 2 damage to all enemy minions in the Front row."
"Sa mort est plus dangereuse que sa vie.","Sa mort est plus dangereuse que sa vie.","His death is more dangerous than his life."
"Général de Brigade","Général de Brigade","Brigade General"
"COMMANDEMENT. Éveil : invoque un Chevalier du Mur 2/5 en rangée Avant si tu as 4 Humains ou plus en jeu.","COMMANDEMENT. Éveil : invoque un Chevalier du Mur 2/5 en rangée Avant si tu as 4 Humains ou plus en jeu.","COMMAND. Awakening: summon a Wall Knight 2/5 in the Front row if you have 4 or more Humans in play."
"COMMANDEMENT
Éveil : Invoque un Fantassin Aguerri 2/2 en rangée Avant si vous avez 4 Humains ou plus en jeu.","COMMANDEMENT
Éveil : Invoque un Fantassin Aguerri 2/2 en rangée Avant si vous avez 4 Humains ou plus en jeu.","COMMAND
Awakening: Summon a Seasoned Footman 2/2 in the Front row if you have 4 or more Humans in play."
"Une armée n'est pas un nombre. C'est une volonté. La sienne.","Une armée n'est pas un nombre. C'est une volonté. La sienne.","An army is not a number. It is a will. His."
"Horde Mineure","Horde Mineure","Minor Horde"
"Arrivée : Invoque 2 Rampants 1/1 en rangée Avant.","Arrivée : Invoque 2 Rampants 1/1 en rangée Avant.","Arrival: Summon 2 Crawlers 1/1 in the Front row."
"Un seul ne fait pas peur. Mais il n'est jamais seul.","Un seul ne fait pas peur. Mais il n'est jamais seul.","One alone is not frightening. But it is never alone."
"Hurleur Nécrotique","Hurleur Nécrotique","Necrotic Howler"
"Arrivée : Tous vos Mort-Vivants gagnent +1/+0 jusqu'à la fin du tour.","Arrivée : Tous vos Mort-Vivants gagnent +1/+0 jusqu'à la fin du tour.","Arrival: All your Undead gain +1/+0 until end of turn."
"Son cri ne terrorise plus. Il réveille.","Son cri ne terrorise plus. Il réveille.","Its howl no longer terrifies. It awakens."
"Hymne de Guerre","Hymne de Guerre","War Hymn"
"Renfort : Le serviteur Humain invoqué gagne +1/+1.","Renfort : Le serviteur Humain invoqué gagne +1/+1.","Reinforcement: The summoned Human minion gains +1/+1."
"Le chant ne les rend pas invincibles. Il leur rappelle qu'ils ne sont pas seuls.","Le chant ne les rend pas invincibles. Il leur rappelle qu'ils ne sont pas seuls.","The song does not make them invincible. It reminds them they are not alone."
"Idole de l'Apocalypse","Idole de l'Apocalypse","Idol of the Apocalypse"
"Résonance : Chaque Mort-Vivant attaquant inflige 1 dégât aux serviteurs adjacents à la cible.","Résonance : Chaque Mort-Vivant attaquant inflige 1 dégât aux serviteurs adjacents à la cible.","Resonance: Each attacking Undead deals 1 damage to the minions adjacent to the target."
"On ne l'a pas sculpté. On l'a trouvé ainsi, debout, au milieu des ruines.","On ne l'a pas sculpté. On l'a trouvé ainsi, debout, au milieu des ruines.","No one carved it. It was found this way, standing, amid the ruins."
"Infecté Récent","Infecté Récent","Recently Infected"
"Mort-rage : +1/+1 par ennemi infecté en jeu.","Mort-rage : +1/+1 par ennemi infecté en jeu.","Death Rage: +1/+1 for each infected enemy in play."
"La morsure date d'hier. Il a encore ses yeux d'avant, mais plus rien derrière.","La morsure date d'hier. Il a encore ses yeux d'avant, mais plus rien derrière.","The bite was yesterday. He still has his old eyes, but nothing behind them anymore."
"Inquisiteur Suprême","Inquisiteur Suprême","Supreme Inquisitor"
"DISCIPLINE. Arrivée : annule tous les effets Infection sur tes serviteurs alliés. Immunise tes serviteurs à l'Infection ce tour.","DISCIPLINE. Arrivée : annule tous les effets Infection sur tes serviteurs alliés. Immunise tes serviteurs à l'Infection ce tour.","DISCIPLINE. Arrival: remove all Infection effects from your allied minions. Make your minions immune to Infection this turn."
"La corruption s'arrête là où il pose le regard.","La corruption s'arrête là où il pose le regard.","Corruption stops where his gaze falls."
"Inquisiteur de Fer","Inquisiteur de Fer","Iron Inquisitor"
"Il ne cherche pas la vérité. Il coupe ce qui parle à la place d'elle.","Il ne cherche pas la vérité. Il coupe ce qui parle à la place d'elle.","He does not seek the truth. He cuts away whatever speaks in its place."
"Jugement Divin","Jugement Divin","Divine Judgment"
"Détruit un serviteur ennemi ayant 2 ATK ou moins.","Détruit un serviteur ennemi ayant 2 ATK ou moins.","Destroy an enemy minion with 2 ATK or less."
"Le verdict est rendu avant même que l'accusé comprenne qu'il était jugé.","Le verdict est rendu avant même que l'accusé comprenne qu'il était jugé.","The verdict is handed down before the accused even realizes he was on trial."
"L'Éternel Gardien","L'Éternel Gardien","The Eternal Guardian"
"REMPART, ÉGIDE, DISCIPLINE
Arrivée : Tous les serviteurs ennemis perdent leurs mots-clés jusqu'à la fin du prochain tour adverse.","REMPART, ÉGIDE, DISCIPLINE
Arrivée : Tous les serviteurs ennemis perdent leurs mots-clés jusqu'à la fin du prochain tour adverse.","TAUNT, AEGIS, DISCIPLINE
Arrival: All enemy minions lose their keywords until the end of the next enemy turn."
"Il n'a pas survécu à toutes ces guerres par chance. Il a survécu parce que rien de ce que l'ennemi fait ne le surprend.","Il n'a pas survécu à toutes ces guerres par chance. Il a survécu parce que rien de ce que l'ennemi fait ne le surprend.","He did not survive all those wars by luck. He survived because nothing the enemy does surprises him."
"La Faucheuse","La Faucheuse","The Reaper"
"Arrivée : Détruit un serviteur ennemi ciblé et le ressuscite sous votre contrôle sans ses effets.","Arrivée : Détruit un serviteur ennemi ciblé et le ressuscite sous votre contrôle sans ses effets.","Arrival: Destroy target enemy minion and resurrect it under your control without its effects."
"Elle ne prend pas les âmes. Elle redistribue les corps.","Elle ne prend pas les âmes. Elle redistribue les corps.","She does not take souls. She redistributes bodies."
"La Grande Inquisitrice","La Grande Inquisitrice","The Grand Inquisitrix"
"DISCIPLINE
Éveil : Détruit un enchantement ou rituel ennemi actif aléatoire.","DISCIPLINE
Éveil : Détruit un enchantement ou rituel ennemi actif aléatoire.","DISCIPLINE
Awakening: Destroy a random active enemy enchantment or ritual."
"Elle ne combat pas la magie ennemie. Elle la refuse.","Elle ne combat pas la magie ennemie. Elle la refuse.","She does not fight enemy magic. She refuses it."
"Lame-Jurée","Lame-Jurée","Oath-Blade"
"DISCIPLINE
Exécution : Gagne +1/+1 de façon permanente.","DISCIPLINE
Exécution : Gagne +1/+1 de façon permanente.","DISCIPLINE
Execution: Permanently gains +1/+1."
"Elle a juré sur sa lame. La lame, elle, a juré de le mériter.","Elle a juré sur sa lame. La lame, elle, a juré de le mériter.","She swore upon her blade. The blade, in turn, swore to be worthy of her."
"Lancier en Ligne","Lancier en Ligne","Line Lancer"
"La ligne tient ou la ligne tombe. Il n'y a pas d'entre-deux.","La ligne tient ou la ligne tombe. Il n'y a pas d'entre-deux.","The line holds or the line falls. There is no in-between."
"Larve Cadavérique","Larve Cadavérique","Cadaverous Larva"
"Elle n'est pas née de la vie. Elle est née de ce qui reste.","Elle n'est pas née de la vie. Elle est née de ce qui reste.","It was not born of life. It was born of what remains."
"Le Médecin de la Peste","Le Médecin de la Peste","The Plague Doctor"
"Éveil : Invoque un Mort-Vivant aléatoire de coût ≤3 en rangée Avant.","Éveil : Invoque un Mort-Vivant aléatoire de coût ≤3 en rangée Avant.","Awakening: Summon a random Undead of cost ≤3 in the Front row."
"Il soignait les vivants autrefois. Il a simplement changé de patientèle.","Il soignait les vivants autrefois. Il a simplement changé de patientèle.","He once healed the living. He simply changed his clientele."
"Le Patient Zéro","Le Patient Zéro","Patient Zero"
"Arrivée : Inflige Infection à tous les serviteurs ennemis en jeu.","Arrivée : Inflige Infection à tous les serviteurs ennemis en jeu.","Arrival: Inflict Infection on all enemy minions in play."
"On n'a jamais su d'où il venait. On a fini par ne plus chercher.","On n'a jamais su d'où il venait. On a fini par ne plus chercher.","No one ever knew where he came from. Eventually, they stopped looking."
"Le Rempart Vivant","Le Rempart Vivant","The Living Rampart"
"REMPART, FORTIFICATION, CONTRE-ATTAQUE
Blessure : Invoque un Porteur de Bouclier 1/4 REMPART.","REMPART, FORTIFICATION, CONTRE-ATTAQUE
Blessure : Invoque un Porteur de Bouclier 1/4 REMPART.","TAUNT, FORTIFICATION, COUNTERATTACK
Wounded: Summon a Shield Bearer 1/4 with TAUNT."
"On lui a demandé combien de temps il pouvait tenir. Il n'a pas répondu. Il tient encore.","On lui a demandé combien de temps il pouvait tenir. Il n'a pas répondu. Il tient encore.","They asked how long he could hold. He did not answer. He is still holding."
"Le Roi Soldat","Le Roi Soldat","The Soldier King"
"COMMANDEMENT, ÉGIDE
Arrivée : Tous les serviteurs Humains alliés gagnent +2/+2 de façon permanente.","COMMANDEMENT, ÉGIDE
Arrivée : Tous les serviteurs Humains alliés gagnent +2/+2 de façon permanente.","COMMAND, AEGIS
Arrival: All allied Human minions permanently gain +2/+2."
"Il n'a pas pris la couronne. On la lui a posée sur le champ de bataille, entre deux assauts.","Il n'a pas pris la couronne. On la lui a posée sur le champ de bataille, entre deux assauts.","He did not take the crown. It was placed on him on the battlefield, between two charges."
"Lignée des Braves","Lignée des Braves","Lineage of the Brave"
"Deuil : Quand un Humain allié meurt, piochez 1 carte. (Une seule fois par tour.)","Deuil : Quand un Humain allié meurt, piochez 1 carte. (Une seule fois par tour.)","Mourning: When an allied Human dies, draw 1 card. (Once per turn.)"
"Chaque nom gravé est aussi une leçon. Il suffit de savoir la lire.","Chaque nom gravé est aussi une leçon. Il suffit de savoir la lire.","Every engraved name is also a lesson. You just have to know how to read it."
"Léviathan Putréfié","Léviathan Putréfié","Putrefied Leviathan"
"REMPART
Arrivée : Serviteurs Mort-Vivants alliés +2/+2.","REMPART
Arrivée : Serviteurs Mort-Vivants alliés +2/+2.","TAUNT
Arrival: Allied Undead minions +2/+2."
"Les mers l'ont recraché. Elles non plus ne voulaient plus de lui.","Les mers l'ont recraché. Elles non plus ne voulaient plus de lui.","The seas spat him back out. They too no longer wanted him."
"Marche Forcée","Marche Forcée","Forced March"
"Éveil : Invoque un Éclaireur Rapide 1/1 en rangée Avant gratuitement.","Éveil : Invoque un Éclaireur Rapide 1/1 en rangée Avant gratuitement.","Awakening: Summon a Swift Scout 1/1 in the Front row for free."
"Pas de repos. Pas d'arrêt. La ligne avance parce que s'arrêter, c'est mourir.","Pas de repos. Pas d'arrêt. La ligne avance parce que s'arrêter, c'est mourir.","No rest. No stopping. The line advances because to stop is to die."
"Maréchal de Campagne","Maréchal de Campagne","Campaign Marshal"
"COMMANDEMENT
Éveil : Tous les serviteurs Humains alliés gagnent +1/+0 jusqu'à la fin du tour.","COMMANDEMENT
Éveil : Tous les serviteurs Humains alliés gagnent +1/+0 jusqu'à la fin du tour.","COMMAND
Awakening: All allied Human minions gain +1/+0 until end of turn."
"Il ne crie pas les ordres. Il les dit une fois, calmement. Ça suffit.","Il ne crie pas les ordres. Il les dit une fois, calmement. Ça suffit.","He does not shout his orders. He says them once, calmly. That is enough."
"Massacre Sacré","Massacre Sacré","Sacred Slaughter"
